P35244,O00255
P15927,P78527
P15927,P13051
P15927,P12956
P15927,O00255
P15927,P27694
P78527,P12956
P78527,P27694
P78527,P13010
P78527,P49450
P78527,P68431
P12956,P13010
P12956,P49450
P12956,P68431
P12956,Q9BUH6
P27694,O00255
O00255,Q03164
O00255,Q9UMN6
Q16543,Q9Y6K9
Q9UKB1,P63208
Q9Y6K9,Q9BYM8
Q9Y6K9,Q96EP0
Q969H0,P63208
Q969H0,P46531
O00571,P49450
Q13451,P08238
Q9UER7,P62805
Q9UER7,P84243
Q9UER7,Q71DI3
Q9UER7,P68431
P01106,O75592
P01106,Q9Y230
P01106,Q99741
Q9Y230,Q9Y265
Q9Y230,P49450
Q9Y230,Q8NCD3
Q9Y230,O76064
O00267,P50750
O00267,P63272
P50750,O60563
P50750,O60885
P08238,O00170
P08238,Q02790
P08238,Q9H6T3
P61077,Q13490
Q96QK1,O75436
Q96QK1,Q9UBQ0
O75436,Q9UBQ0
P63165,P46060
P63165,Q9P0U3
P63165,Q9HC62
P63165,Q9UBT2
P62491,O75154
P62491,Q96QF0
P62491,Q9UBF8
O60216,Q8N3U4
O60216,Q5FBB7
Q9NVP2,Q13112
Q9NVP2,P68431
Q9NVP2,P84243
Q9NVP2,P49736
Q13112,P68431
Q9P0U3,P61956
P61956,Q9HC62
P62837,Q15843
P62837,Q13489
P62837,Q96CA5
P62837,Q96EP0
Q15843,P61081
Q9UJ41,Q15276
Q9NVI1,Q9BXW9
P67775,P30153
P67775,Q5FBB7
O75533,P62136
Q9BSI4,Q96AP0
Q9BSI4,Q15554
Q9NUX5,Q96AP0
Q9NUX5,Q15554
Q9NUX5,Q2NKJ3
Q9NUX5,Q9H668
Q96AP0,Q15554
Q96AP0,O14746
Q6P2Q9,O75643
Q13415,O43913
Q13415,O43929
Q9H1Y0,Q7Z434
Q9H1Y0,O95786
Q9H1Y0,Q9BYX4
Q9H1Y0,Q676U5
Q9H1Y0,Q8TDY2
P05161,P41226
O75581,O94907
O75581,P56704
O75581,Q9ULT6
O75581,P22692
O75581,O15169
O60563,O60885
P46531,Q92585
P46531,Q06330
Q92585,Q06330
Q9Y265,P49450
Q9Y265,Q8NCD3
P61088,Q13404
P61088,Q96FW1
P43220,P49407
P49407,O15169
Q15831,Q9Y376
Q15831,Q7RTN6
Q9Y376,Q7RTN6
P49736,P62805
P49736,P68431
P49736,P49450
P49736,Q8NCD3
P49736,Q71DI3
Q92769,Q15022
Q99836,O43187
Q99836,Q9NWZ3
O43187,Q9NWZ3
Q9H9A7,Q96E14
P13010,Q8IW19
P13010,P49450
P13010,P68431
P13010,O76064
P13010,Q9BUH6
P38919,Q9HCG8
P52298,Q09161
Q9UBT2,Q9UBE0
P06756,P18564
O95786,Q7Z434
O95786,O94817
Q7Z434,O94817
Q7Z434,Q9BYX4
Q7Z434,P61964
P04626,Q93034
Q5FBB7,Q53HL2
Q5FBB7,Q8N3U4
Q13951,Q93034
Q13951,Q15369
P40337,Q15369
P40337,Q15370
P63208,Q9Y297
P63208,Q13309
P63208,Q5XUX0
Q16531,Q13619
Q16531,Q5T6F0
Q16531,Q96SW2
O15392,Q53HL2
Q14141,Q15019
Q14141,Q16181
Q15019,Q16181
Q9UKL0,O60341
O60341,P68431
Q53HL2,Q9NQS7
Q9Y297,O00444
Q96FW1,Q13404
Q8WXD5,Q9H840
O14744,P62805
O14744,Q9Y6K1
O14744,Q9BQA1
P62805,P68431
P62805,P49450
P62805,Q16695
P62805,P84243
P62805,O60885
P62805,Q71DI3
Q15788,Q96RI1
Q15691,Q14203
P35226,Q99496
P35226,P0C0S8
Q99496,P0C0S8
Q99496,Q86SE9
O14980,O95149
Q9NZN8,O75175
Q9NZN8,A5YKK6
Q9NZN8,Q9H9A5
Q9NZN8,Q9UIV1
A5YKK6,Q96LI5
P61964,Q15291
P61964,P37231
P61964,Q03164
P61964,Q9UMN6
Q15291,Q9UBL3
Q15291,P37231
Q15291,Q9UMN6
Q13619,P55072
Q13619,Q96GG9
Q13619,Q96SW2
Q03164,Q9UBL3
Q03164,Q13309
Q9UBL3,P37231
Q9UBL3,Q9UMN6
P68431,Q13111
P68431,Q09028
Q13111,P84243
Q13111,Q71DI3
Q15370,Q15369
Q15370,Q93034
Q15369,Q93034
Q8N122,Q9BVC4
Q8N122,Q8WUA4
Q8N122,O75385
O43264,Q9H900
O43264,P50748
Q9H900,P50748
P50402,P60709
P60709,P07737
O94817,Q9BYX4
O94907,Q96MU8
P48546,P01275
Q96LI5,Q9UIV1
O75154,Q9UBF8
O75154,Q96QF0
Q92608,Q92556
P05019,P22692
P05019,P17936
P05019,P08833
Q9BQA1,Q9UMN6
Q13155,P07814
Q9Y6K1,Q9UJW3
Q15022,Q6ZN18
Q15022,Q09028
Q9UMN6,O75475
O15269,O15270
O15269,Q969W0
P00751,P01024
P01024,P08603
O60885,A6H8Y1
Q16602,O60894
P61081,Q96GG9
Q14152,P47813
P49450,Q8NCD3
P49450,Q09028
P49450,Q8N6T7
Q8NCD3,Q09028
P62136,Q13362
Q8TAF3,P62068
Q8TAF3,O94782
O00444,Q8TEP8
Q93034,Q96GG9
Q14524,P61328
Q14524,Q92913
P56159,P07949
P56159,P39905
P60880,O14810
Q96EP0,Q9BYM8
Q8WUA4,Q12789
P06899,P04908
O00411,Q9H5Q4
Q8N423,P17693
Q9ULT6,Q2MKA7
Q2NKJ3,Q86WV5
Q2NKJ3,Q9H668
Q86WV5,Q9H668
Q13618,Q96GG9
O00311,Q9UBU7
O95721,Q9BV40
O95721,P56962
Q676U5,Q8TDY2
P48729,Q96SW2
Q13131,O75385
Q8TDY2,O75385
O75143,O75385
O75385,Q9Y478
O75385,P54619
O15270,Q969W0
P18509,P41586
P30989,P30990
Q96SW2,Q13422
O75462,Q9UBD9
Q9BV40,P56962
Q9NYV4,O75909
O75140,Q8WTW4
O75140,Q12980
